Partlist

Exported from Thermocouple-board.brd at 12/27/18 10:27 PM

EAGLE Version 9.2.2 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value          Package            Library                 Position (inch)       Orientation

C1       0.1uF          C0805K             adafruit                (1.78 1.24)           R225
C2       0.1uF          C0805K             adafruit                (1.34 1.68)           R45
C3       10pF           C0805K             adafruit                (1.95 1.24)           R0
C4       10pF           C0805K             adafruit                (1.95 1.54)           R0
C8       0.1uF          C0805K             adafruit                (0.72 1.66)           R270
C10      0.1uF          C0805K             adafruit                (2.32 0.82)           R90
C11      0.1uF          C0805K             adafruit                (1.93 0.82)           R90
C12      0.1uF          C0805K             adafruit                (1.54 0.82)           R90
C13      0.1uF          C0805K             adafruit                (1.15 0.82)           R90
C14      0.01uF         C0805K             adafruit                (2.17 0.57)           R0
C15      0.01uF         C0805K             adafruit                (1.78 0.57)           R0
C16      0.01uF         C0805K             adafruit                (1.39 0.57)           R0
C17      0.01uF         C0805K             adafruit                (1 0.57)              R0
C20      0.1uF          C0805K             adafruit                (0.59 1.28)           R270
C21      0.1uF          C0805K             adafruit                (0.91 1.28)           R270
C30      0.1uF          C0805K             adafruit                (1.93 2)              R90
C31      0.1uF          C0805K             adafruit                (1.31 2)              R270
C40      1uF            C0805K             adafruit                (0.9 2.05)            R0
C41      10uF           C0805K             adafruit                (0.9 1.76)            R0
C42      10uF           C0805K             adafruit                (0.9 1.67)            R0
C51      0.1uF          C0805K             adafruit                (2.6 1.51)            R180
C52      0.1uF          C0805K             adafruit                (2.59 1.94)           R180
D1       GREEN          LED-0603           SparkFun-LED            (2.24 2)              R90
D2       RED            LED-0603           SparkFun-LED            (2.33 2)              R90
D3       3A/40V/500mV   SMA-DIODE          SparkFun-DiscreteSemi   (0.72 1.96)           R90
FB1      Ferrite        _0805              microbuilder            (2.1 0.42)            R90
FB2      Ferrite        _0805              microbuilder            (2.24 0.42)           R90
FB3      Ferrite        _0805              microbuilder            (1.71 0.42)           R90
FB4      Ferrite        _0805              microbuilder            (1.85 0.42)           R90
FB5      Ferrite        _0805              microbuilder            (1.32 0.42)           R90
FB6      Ferrite        _0805              microbuilder            (1.46 0.42)           R90
FB7      Ferrite        _0805              microbuilder            (0.93 0.42)           R90
FB8      Ferrite        _0805              microbuilder            (1.07 0.42)           R90
J1       RJ45           RJ45-8             SparkFun-Connectors     (0.3 2.44)            R270
J2       RJ45           RJ45-8             SparkFun-Connectors     (2.7 2.44)            R90
J3       1981584-1      1981584-1          audio amplifier example (0 1.41)              R270
J4       2.1MMJACKTHM   PJ-102A            adafruit                (1.12 2.93)           R0
J5       ST-LINK        1X06_OVAL          Thermocouple-board      (2.8 0.75)            R90
J6       HEADER-1X3     1X03_OVAL          Thermocouple-board      (0.22 1.89)           R180
J7       UART           1X06_OVAL          Thermocouple-board      (0.2 0.75)            R270
J10      1X2-3.5MM      1X2-3.5MM          Thermocouple-board      (2.17 0.145)          R180
J11      1X2-3.5MM      1X2-3.5MM          Thermocouple-board      (1.78 0.145)          R180
J12      1X2-3.5MM      1X2-3.5MM          Thermocouple-board      (1.39 0.145)          R180
J13      1X2-3.5MM      1X2-3.5MM          Thermocouple-board      (1 0.145)             R180
MH1      4-40           MTG_HOLE_C280_H125 Thermocouple-board      (0.18 0.18)           R0
MH2      4-40           MTG_HOLE_C280_H125 Thermocouple-board      (2.82 0.18)           R0
MH3      4-40           MTG_HOLE_C280_H125 Thermocouple-board      (0.18 2.92)           R0
MH4      4-40           MTG_HOLE_C280_H125 Thermocouple-board      (2.82 2.92)           R0
R1       10K            R0805              adafruit                (1.95 1.34)           R180
R10      10K            R0805              adafruit                (2.02 0.82)           R90
R11      10K            R0805              adafruit                (1.63 0.82)           R90
R12      10K            R0805              adafruit                (1.24 0.82)           R90
R13      10K            R0805              adafruit                (0.85 0.82)           R90
R14      10K            R0805              adafruit                (0.76 0.82)           R90
R19      10K            R0805              adafruit                (1.95 1.44)           R180
R21      10K            R0805              adafruit                (0.59 1.45)           R90
R22      10K            R0805              adafruit                (0.91 1.45)           R90
R30      10K            R0805              adafruit                (2.02 2)              R270
R31      10K            R0805              adafruit                (1.13 2)              R270
R32      10K            R0805              adafruit                (2.11 2)              R90
R33      10K            R0805              adafruit                (1.22 2)              R90
R34      10K            R0805              adafruit                (1.14 1.66)           R90
R51      10K            R0805              adafruit                (2.6 1.39)            R0
